Month,Count,Type
7,94,Immature
7,47,Immature
7,102,Immature
7,116,Immature
7,53,Immature
7,98,Immature
7,60,Immature
7,91,Immature
7,116,Immature
7,42,Immature
7,53,Immature
7,55,Immature
7,37,Immature
7,24,Immature
7,32,Immature
7,46,Immature
7,52,Immature
7,53,Immature
7,62,Immature
7,66,Immature
7,0,Mature
7,4,Mature
7,0,Mature
7,15,Mature
7,2,Mature
7,35,Mature
7,16,Mature
7,5,Mature
7,14,Mature
7,18,Mature
7,15,Mature
7,22,Mature
7,10,Mature
7,4,Mature
7,12,Mature
7,2,Mature
7,3,Mature
7,16,Mature
7,20,Mature
7,0,Mature
7,36,Embryos
7,27,Embryos
7,30,Embryos
7,34,Embryos
7,19,Embryos
7,3,Embryos
7,30,Embryos
7,33,Embryos
7,0,Embryos
7,6,Embryos
7,0,Embryos
7,0,Embryos
7,0,Embryos
7,11,Embryos
7,0,Embryos
7,0,Embryos
7,0,Embryos
7,0,Embryos
7,0,Embryos
7,0,Embryos
8,82,Immature
8,72,Immature
8,52,Immature
8,86,Immature
8,92,Immature
8,116,Immature
8,102,Immature
8,91,Immature
8,63,Immature
8,82,Immature
8,52,Immature
8,105,Immature
8,82,Immature
8,62,Immature
8,47,Immature
8,82,Immature
8,92,Immature
8,79,Immature
8,62,Immature
8,17,Mature
8,12,Mature
8,9,Mature
8,6,Mature
8,21,Mature
8,5,Mature
8,8,Mature
8,13,Mature
8,6,Mature
8,9,Mature
8,12,Mature
8,16,Mature
8,7,Mature
8,5,Mature
8,3,Mature
8,0,Mature
8,11,Mature
8,6,Mature
8,9,Mature
8,38,Embryos
8,22,Embryos
8,13,Embryos
8,19,Embryos
8,24,Embryos
8,16,Embryos
8,42,Embryos
8,36,Embryos
8,41,Embryos
8,32,Embryos
8,51,Embryos
8,31,Embryos
8,45,Embryos
8,18,Embryos
8,43,Embryos
8,29,Embryos
8,23,Embryos
8,0,Embryos
8,27,Embryos
9,120,Immature
9,146,Immature
9,101,Immature
9,129,Immature
9,97,Immature
9,136,Immature
9,118,Immature
9,102,Immature
9,108,Immature
9,212,Immature
9,115,Immature
9,123,Immature
9,183,Immature
9,124,Immature
9,137,Immature
9,20,Immature
9,82,Immature
9,141,Immature
9,13,Mature
9,9,Mature
9,8,Mature
9,5,Mature
9,22,Mature
9,6,Mature
9,0,Mature
9,24,Mature
9,0,Mature
9,39,Mature
9,40,Mature
9,42,Mature
9,10,Mature
9,2,Mature
9,17,Mature
9,21,Mature
9,9,Mature
9,9,Mature
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
9,0,Embryos
10,169,Immature
10,82,Immature
10,51,Immature
10,87,Immature
10,126,Immature
10,66,Immature
10,126,Immature
10,113,Immature
10,153,Immature
10,132,Immature
10,87,Immature
10,89,Immature
10,143,Immature
10,143,Immature
10,201,Immature
10,102,Immature
10,143,Immature
10,153,Immature
10,99,Immature
10,72,Immature
10,37,Mature
10,40,Mature
10,20,Mature
10,6,Mature
10,12,Mature
10,10,Mature
10,18,Mature
10,10,Mature
10,9,Mature
10,17,Mature
10,44,Mature
10,13,Mature
10,27,Mature
10,28,Mature
10,37,Mature
10,13,Mature
10,44,Mature
10,10,Mature
10,25,Mature
10,36,Mature
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
10,0,Embryos
11,148,Immature
11,78,Immature
11,165,Immature
11,142,Immature
11,103,Immature
11,97,Immature
11,105,Immature
11,72,Immature
11,103,Immature
11,121,Immature
11,52,Immature
11,120,Immature
11,109,Immature
11,96,Immature
11,73,Immature
11,72,Immature
11,67,Immature
11,108,Immature
11,82,Immature
11,100,Immature
11,35,Mature
11,27,Mature
11,42,Mature
11,28,Mature
11,36,Mature
11,29,Mature
11,66,Mature
11,46,Mature
11,55,Mature
11,54,Mature
11,39,Mature
11,81,Mature
11,80,Mature
11,55,Mature
11,53,Mature
11,59,Mature
11,37,Mature
11,90,Mature
11,45,Mature
11,56,Mature
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
11,0,Embryos
12,102,Immature
12,73,Immature
12,66,Immature
12,92,Immature
12,118,Immature
12,99,Immature
12,89,Immature
12,106,Immature
12,141,Immature
12,93,Immature
12,102,Immature
12,101,Immature
12,99,Immature
12,116,Immature
12,121,Immature
12,63,Immature
12,82,Immature
12,37,Mature
12,42,Mature
12,62,Mature
12,39,Mature
12,45,Mature
12,60,Mature
12,52,Mature
12,72,Mature
12,90,Mature
12,83,Mature
12,92,Mature
12,80,Mature
12,61,Mature
12,82,Mature
12,91,Mature
12,48,Mature
12,66,Mature
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
12,0,Embryos
1,99,Immature
1,86,Immature
1,97,Immature
1,82,Immature
1,93,Immature
1,110,Immature
1,82,Immature
1,96,Immature
1,67,Immature
1,66,Immature
1,64,Immature
1,31,Immature
1,80,Immature
1,96,Immature
1,74,Immature
1,89,Immature
1,90,Immature
1,74,Immature
1,80,Immature
1,95,Immature
1,96,Mature
1,73,Mature
1,82,Mature
1,57,Mature
1,79,Mature
1,66,Mature
1,92,Mature
1,93,Mature
1,49,Mature
1,80,Mature
1,61,Mature
1,106,Mature
1,101,Mature
1,65,Mature
1,64,Mature
1,73,Mature
1,82,Mature
1,75,Mature
1,68,Mature
1,83,Mature
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
1,0,Embryos
2,62,Immature
2,80,Immature
2,63,Immature
2,51,Immature
2,66,Immature
2,62,Immature
2,76,Immature
2,52,Immature
2,65,Immature
2,76,Immature
2,79,Immature
2,97,Immature
2,93,Immature
2,102,Immature
2,101,Immature
2,61,Immature
2,99,Immature
2,66,Immature
2,73,Immature
2,106,Mature
2,100,Mature
2,87,Mature
2,89,Mature
2,88,Mature
2,45,Mature
2,78,Mature
2,102,Mature
2,98,Mature
2,111,Mature
2,99,Mature
2,81,Mature
2,74,Mature
2,53,Mature
2,46,Mature
2,57,Mature
2,48,Mature
2,99,Mature
2,106,Mature
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
2,0,Embryos
3,91,Immature
3,93,Immature
3,76,Immature
3,86,Immature
3,91,Immature
3,82,Immature
3,62,Immature
3,76,Immature
3,69,Immature
3,71,Immature
3,58,Immature
3,53,Immature
3,60,Immature
3,69,Immature
3,66,Immature
3,56,Immature
3,63,Immature
3,59,Immature
3,51,Immature
3,49,Immature
3,109,Mature
3,101,Mature
3,69,Mature
3,78,Mature
3,96,Mature
3,62,Mature
3,77,Mature
3,89,Mature
3,103,Mature
3,107,Mature
3,52,Mature
3,80,Mature
3,94,Mature
3,73,Mature
3,106,Mature
3,72,Mature
3,80,Mature
3,84,Mature
3,87,Mature
3,79,Mature
3,0,Embryos
3,0,Embryos
3,0,Embryos
3,0,Embryos
3,0,Embryos
