Month,Sex,Length (total),Weight (total),
January,Female,65.33,2.968,
January,Female,58.67,2.1485,
January,Female,56.4,2.3141,
January,Female,54.93,1.9544,
January,Female,57.2,2.0945,
January,Female,49.34,1.3987,
January,Female,52.19,1.7587,
January,Female,53.48,1.957,
January,Female,53.31,1.4381,
January,Female,54.16,1.5639,
January,Female,41.43,0.6938,
January,Female,42.54,0.8067,
January,Female,42.71,0.3113,
January,Female,42.29,0.6454,
January,Female,40.16,0.6221,
January,Female,39.94,0.5775,
January,Female,38.42,0.5389,
January,Female,40.97,0.5834,
January,Female,41.12,0.6023,
January,Female,37.82,0.5304,
February,Female,69.25,6.7046,
February,Female,62.01,4.3759,
February,Female,61.91,3.8342,
February,Female,64.68,4.8198,
February,Female,65.53,4.6895,
February,Female,62.49,4.297,
February,Female,69.98,6.9841,
February,Female,67.36,5.8311,
February,Female,67.78,6.3616,
February,Female,68.95,6.4989,
February,Female,73.78,8.314,
February,Female,61.97,4.3957,
February,Female,69.84,6.6543,
February,Female,68.1,4.7826,
February,Female,75.88,9.1968,
February,Female,62.69,4.138,
February,Female,62.31,4.2584,
February,Female,55.8,2.4142,
February,Female,55.48,2.3875,
March,Female,60.97,2.298,
March,Female,55.53,1.6717,
March,Female,52.82,1.5665,
March,Female,47.13,1.0307,
March,Female,44.78,0.969,
March,Female,57.9,2.3156,
March,Female,47.54,1.3362,
March,Female,45.1,0.8753,
March,Female,39.35,0.6935,
March,Female,42.38,0.735,
March,Female,41.8,0.6582,
March,Female,44.4,0.8209,
April,Female,43.86,0.8478,
April,Female,39.96,0.5969,
April,Female,41.65,0.5636,
April,Female,37.54,0.3934,
April,Female,35.29,0.5038,
April,Female,33.43,0.4095,
April,Female,57.79,2.7476,
April,Female,45.18,1.2494,
April,Female,62.09,3.0149,
April,Female,53.98,1.848,
April,Female,57.31,2.3739,
April,Female,49.99,1.2855,
April,Female,61.42,3.1019,
April,Female,54.4,2.0049,
April,Female,59.69,2.6508,
April,Female,54.36,2.5211,
April,Female,49.97,1.2948,
April,Female,46.92,1.2902,
April,Female,50.89,1.376,
April,Female,43.3,0.9299,
April,Female,50.04,1.3243,
April,Female,45.16,0.9851,
April,Female,46.05,1.1791,
April,Female,43.39,0.9034,
April,Female,47.64,1.0286,
April,Female,45.13,1.0103,
May,Female,64.01,3.7555,
May,Female,63.24,3.3681,
May,Female,53.67,1.9772,
May,Female,50.72,1.4796,
May,Female,49.07,1.4223,
May,Female,49.41,1.3937,
May,Female,48.39,1.4537,
May,Female,44.7,1.1643,
May,Female,50.51,1.3795,
May,Female,51.54,1.5184,
May,Female,45.06,1.0953,
May,Female,46.81,1.3625,
May,Female,50.07,1.438,
May,Female,52.07,1.5058,
May,Female,49.78,1.212,
May,Female,50.52,1.3318,
May,Female,51.61,1.3669,
May,Female,49.53,1.413,
May,Female,48.06,1.0898,
May,Female,49.1,1.2472,
June,Female,62.3,2.7025,
June,Female,60.37,2.8597,
June,Female,65.32,3.2145,
June,Female,52.6,1.7501,
June,Female,57.64,2.2289,
June,Female,48.06,1.071,
June,Female,55.14,1.9225,
June,Female,53.84,1.641,
June,Female,48.02,1.1238,
June,Female,49.56,1.2726,
June,Female,50.72,1.1242,
June,Female,47.54,1.2078,
June,Female,49.7,1.077,
June,Female,42.88,0.7975,
June,Female,47.42,0.9756,
June,Female,45.16,0.8867,
June,Female,43.56,0.8451,
July,Female,65.62,3.1814,
July,Female,50.83,1.3749,
July,Female,50.08,1.0835,
July,Female,61.94,2.5344,
July,Female,53.04,1.389,
July,Female,50.47,1.2681,
July,Female,51.98,1.5321,
July,Female,53.46,1.6173,
July,Female,47.46,1.1293,
July,Female,48.34,1.1416,
July,Female,49.82,1.2523,
July,Female,44.68,0.9253,
July,Female,49.99,1.0856,
July,Female,49.46,1.2158,
July,Female,46.87,1.0017,
July,Female,46.7,0.8425,
July,Female,49.94,1.1064,
July,Female,48.51,1.1091,
July,Female,48.48,1.081,
July,Female,47.81,1.0442,
August,Female,58.38,2.45,
August,Female,42.75,0.85,
August,Female,47.06,1.2176,
August,Female,48.95,1.0883,
August,Female,58.93,2.6176,
August,Female,44.5,0.9106,
August,Female,51.66,1.3845,
August,Female,45.61,1.0882,
August,Female,46.12,1.1366,
August,Female,57.33,2.4076,
August,Female,63.27,3.2658,
August,Female,42.51,0.7544,
August,Female,42.57,0.8544,
August,Female,46.28,0.8922,
August,Female,41.49,0.8637,
August,Female,44.32,0.9468,
August,Female,39.41,0.7704,
August,Female,44.47,1.591,
August,Female,46.57,1.1742,
September,Female,44.2,0.7901,
September,Female,46.69,0.8319,
September,Female,41.55,0.6795,
September,Female,48.36,0.9719,
September,Female,50.11,1.0071,
September,Female,45.2,0.8149,
September,Female,43.76,0.7687,
September,Female,41.33,0.5961,
September,Female,47.59,1.0699,
September,Female,44.55,0.7655,
September,Female,44.07,0.8842,
September,Female,39.43,0.6699,
September,Female,43.75,0.763,
September,Female,47.33,1.2737,
September,Female,49.1,1.3373,
September,Female,51.66,1.3222,
September,Female,41.3,0.6728,
September,Female,41.36,0.6088,
September,Female,45.84,0.6871,
September,Female,41.12,0.5917,
October,Female,57.72,2.463,
October,Female,55.25,2.848,
October,Female,51.44,1.8132,
October,Female,50.36,1.9845,
October,Female,42.29,1.897,
October,Female,52.21,1.8537,
October,Female,47.63,1.416,
October,Female,59.6,2.5701,
October,Female,55.38,1.8025,
