Year,Month,Rainfall,Temp,Humidity,Station
2013,7,155.6,26,65,El Colmenar
2013,8,111.8,25.6,64,El Colmenar
2013,9,69.1,21.9,71,El Colmenar
2013,10,40.9,20.6,67,El Colmenar
2013,11,10.9,16.9,67,El Colmenar
2013,12,21.9,14.8,68,El Colmenar
2013,1,3,13.3,60,El Colmenar
2013,2,0,14.8,42,El Colmenar
2013,3,12.9,18.7,44,El Colmenar
2013,4,49.2,23.4,49,El Colmenar
2013,5,37.2,25.1,49,El Colmenar
2013,6,149.2,28.3,57,El Colmenar
2014,7,157.5,26.7,61,El Colmenar
2014,8,132.1,24.5,73,El Colmenar
2014,9,44.5,21.6,72,El Colmenar
2014,10,33.8,20.1,76,El Colmenar
2014,11,86.7,16.7,80,El Colmenar
2014,12,32.2,13.8,76,El Colmenar
2014,1,19,13.6,67,El Colmenar
2014,2,2,17.9,54,El Colmenar
2014,3,21.1,20.3,55,El Colmenar
2014,4,40.9,24.7,57,El Colmenar
2014,5,64.9,22.9,62,El Colmenar
2014,6,126.9,23.8,67,El Colmenar
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
