Month,Count,Type
July,82.55,Immature Eggs
August,74.94736842,Immature Eggs
September,69.05,Immature Eggs
October,62.625,Immature Eggs
November,57.33333333,Immature Eggs
December,52.14285714,Immature Eggs
January,64.95,Immature Eggs
February,79,Immature Eggs
March,121.8888889,Immature Eggs
April,116.85,Immature Eggs
May,100.65,Immature Eggs
June,97.82352941,Immature Eggs
July,77.25,Mature Eggs
August,82.47368421,Mature Eggs
September,84.9,Mature Eggs
October,31.8125,Mature Eggs
November,24,Mature Eggs
December,15,Mature Eggs
January,10.65,Mature Eggs
February,9.210526316,Mature Eggs
March,15.33333333,Mature Eggs
April,22.8,Mature Eggs
May,50.65,Mature Eggs
June,64.82352941,Mature Eggs
July,0,Embryos
August,0,Embryos
September,0,Embryos
October,20.125,Embryos
November,33.61538462,Embryos
December,38.28571429,Embryos
January,9.9,Embryos
February,9.388888889,Embryos
March,0,Embryos
April,0,Embryos
May,0,Embryos
June,0,Embryos
