Month,Count,Type
January,36,Embryos
January,27,Embryos
January,30,Embryos
January,34,Embryos
January,19,Embryos
January,3,Embryos
January,30,Embryos
January,33,Embryos
January,0,Embryos
January,6,Embryos
January,0,Embryos
January,0,Embryos
January,0,Embryos
January,11,Embryos
January,0,Embryos
January,0,Embryos
January,0,Embryos
January,0,Embryos
January,0,Embryos
January,0,Embryos
February,38,Embryos
February,22,Embryos
February,13,Embryos
February,19,Embryos
February,24,Embryos
February,16,Embryos
February,42,Embryos
February,36,Embryos
February,41,Embryos
February,32,Embryos
February,51,Embryos
February,31,Embryos
February,45,Embryos
February,18,Embryos
February,43,Embryos
February,29,Embryos
February,23,Embryos
February,0,Embryos
February,27,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
March,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
April,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
May,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
June,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
July,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
August,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
September,0,Embryos
October,17,Embryos
October,27,Embryos
October,25,Embryos
October,28,Embryos
October,13,Embryos
October,25,Embryos
October,27,Embryos
October,9,Embryos
October,39,Embryos
October,12,Embryos
October,19,Embryos
October,13,Embryos
October,33,Embryos
October,6,Embryos
October,13,Embryos
October,16,Embryos
November,39,Embryos
November,33,Embryos
November,28,Embryos
November,13,Embryos
November,43,Embryos
November,59,Embryos
November,34,Embryos
November,31,Embryos
November,35,Embryos
November,28,Embryos
November,0,Embryos
November,0,Embryos
November,28,Embryos
November,30,Embryos
November,36,Embryos
December,77,Embryos
December,51,Embryos
December,52,Embryos
December,28,Embryos
December,19,Embryos
December,23,Embryos
December,18,Embryos
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
